book_id,file_name,title_guess,category_guess,source_type,priority,size_mb,modified_at,extract_status,processing_status,notes
book_dd6b6eac088e,51. the daily profile guide volume 1.pdf,51 the daily profile guide volume 1,volume_price_analysis,volume_reference,high,0.38,2026-06-23T15:33:31+07:00,pending,not_processed,
book_0ef5aee77142,52. the daily profile guide volume 2.pdf,52 the daily profile guide volume 2,volume_price_analysis,volume_reference,high,0.38,2026-06-23T15:33:34+07:00,pending,not_processed,
book_ea42770dc24f,53. the daily profile guide volume 3.pdf,53 the daily profile guide volume 3,volume_price_analysis,volume_reference,high,0.36,2026-06-23T15:33:52+07:00,pending,not_processed,
book_33eabb388708,54. 6 Pola Candle Paling Menguntungkan.pdf,54 6 Pola Candle Paling Menguntungkan,candlestick_pattern,technical_reference,high,0.39,2026-06-23T15:33:56+07:00,pending,not_processed,
book_e6863996faa7,55. 7 Pola Candlestick Bullish.pdf,55 7 Pola Candlestick Bullish,candlestick_pattern,technical_reference,high,0.37,2026-06-23T15:34:05+07:00,pending,not_processed,
book_2e947412ac7b,56. ALCHEMIST.pdf,56 ALCHEMIST,supporting,supporting_reference,medium,0.6,2026-06-23T15:34:09+07:00,pending,not_processed,
book_60407d00953d,57. Analisa forex Candle Pattern.pdf,57 Analisa forex Candle Pattern,candlestick_pattern,technical_reference,high,1.56,2026-06-23T15:34:29+07:00,pending,not_processed,
book_3c80ce752abe,58. maked chart trader.pdf,58 maked chart trader,supporting,supporting_reference,medium,1.69,2026-06-23T15:34:34+07:00,pending,not_processed,
book_b5403589ceff,59. CHART-PATTERN-pdf.pdf,59 CHART PATTERN pdf,chart_pattern,technical_reference,high,0.8,2026-06-23T15:34:49+07:00,pending,not_processed,
book_2336cd9ef94e,6. Analisis Horizontal Memahami Tren Laporan Keuangan.pdf,6 Analisis Horizontal Memahami Tren Laporan Keuangan,fundamental_analysis,fundamental_reference,medium_high,13.04,2026-06-23T15:21:30+07:00,pending,not_processed,
book_2dcff9f96f14,60. analisisfundamental dan analisis teknikal.pdf,60 analisisfundamental dan analisis teknikal,supporting,supporting_reference,medium,1.61,2026-06-23T15:34:54+07:00,pending,not_processed,
book_60b5a9621ff3,61. Fibo Musang.pdf,61 Fibo Musang,fibonacci_analysis,graph_theory_reference,high,0.49,2026-06-23T15:35:20+07:00,pending,not_processed,
book_62853efa1ae4,62. Fibonacci 99profit.pdf,62 Fibonacci 99profit,fibonacci_analysis,graph_theory_reference,high,2.27,2026-06-23T15:35:25+07:00,pending,not_processed,
book_433536cc378b,63. technical Fibogan analisis.pdf,63 technical Fibogan analisis,supporting,supporting_reference,medium,40.86,2026-06-23T15:35:45+07:00,pending,not_processed,
book_42d33b1f6337,64. Forex_Fundamental_analysis.pdf,64 Forex Fundamental analysis,fundamental_analysis,fundamental_reference,medium_high,3.45,2026-06-23T15:35:48+07:00,pending,not_processed,
book_e94ce527e4dc,65. Inducement theorem.pdf,65 Inducement theorem,supporting,supporting_reference,medium,5.96,2026-06-23T15:36:45+07:00,pending,not_processed,
book_6d6be5189a76,66. Kelas Ultimate Fibo SNR.pdf,66 Kelas Ultimate Fibo SNR,fibonacci_analysis,graph_theory_reference,high,0.74,2026-06-23T15:36:44+07:00,pending,not_processed,
book_930edbefb15f,67. PDA MATRIX QUEE.pdf,67 PDA MATRIX QUEE,supporting,supporting_reference,medium,5.66,2026-06-23T15:37:10+07:00,pending,not_processed,
book_dd694d15cedc,68. SMC by MIFX.pdf,68 SMC by MIFX,supporting,supporting_reference,medium,1.13,2026-06-23T15:37:13+07:00,pending,not_processed,
book_d9234663d95c,69. SNR.pdf,69 SNR,support_resistance,technical_reference,high,3.3,2026-06-23T15:41:09+07:00,pending,not_processed,
book_8de36f4a46bd,7. Smart Money Concept.pdf,7 Smart Money Concept,supporting,supporting_reference,medium,0.87,2026-06-23T15:21:40+07:00,pending,not_processed,
book_4a7d8bcd9ab5,70. Support and resistance basic to expert Vvipcryptopouuse.pdf,70 Support and resistance basic to expert Vvipcryptopouuse,support_resistance,technical_reference,high,2.85,2026-06-23T15:41:09+07:00,pending,not_processed,
book_f8f657bedbbd,71. Technical Analysis - Fibonacci.pdf,71 Technical Analysis Fibonacci,fibonacci_analysis,graph_theory_reference,high,1.62,2026-06-23T15:41:09+07:00,pending,not_processed,
